Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
1.81134009261958e+001	(6.14886978990042e+000dB,-1.05965132681839e+000°)
1.81551566277311e+001	(6.14887501965130e+000dB,-1.06209499360828e+000°)
1.81970085860996e+001	(6.14888027353102e+000dB,-1.06454429999708e+000°)
1.82389570231961e+001	(6.14888555165089e+000dB,-1.06699925902955e+000°)
1.82810021614272e+001	(6.14889085412269e+000dB,-1.06945988378080e+000°)
1.83231442237119e+001	(6.14889618105870e+000dB,-1.07192618735640e+000°)
1.83653834334832e+001	(6.14890153257176e+000dB,-1.07439818289246e+000°)
1.84077200146893e+001	(6.14890690877522e+000dB,-1.07687588355565e+000°)
1.84501541917945e+001	(6.14891230978291e+000dB,-1.07935930254334e+000°)
1.84926861897805e+001	(6.14891773570926e+000dB,-1.08184845308361e+000°)
1.85353162341479e+001	(6.14892318666917e+000dB,-1.08434334843538e+000°)
1.85780445509167e+001	(6.14892866277806e+000dB,-1.08684400188843e+000°)
1.86208713666284e+001	(6.14893416415193e+000dB,-1.08935042676352e+000°)
1.86637969083464e+001	(6.14893969090729e+000dB,-1.09186263641244e+000°)
1.87068214036578e+001	(6.14894524316118e+000dB,-1.09438064421808e+000°)
1.87499450806739e+001	(6.14895082103120e+000dB,-1.09690446359451e+000°)
1.87931681680324e+001	(6.14895642463546e+000dB,-1.09943410798706e+000°)
1.88364908948977e+001	(6.14896205409264e+000dB,-1.10196959087238e+000°)
1.88799134909627e+001	(6.14896770952196e+000dB,-1.10451092575855e+000°)
1.89234361864495e+001	(6.14897339104318e+000dB,-1.10705812618510e+000°)
1.89670592121112e+001	(6.14897909877664e+000dB,-1.10961120572313e+000°)
1.90107827992327e+001	(6.14898483284320e+000dB,-1.11217017797535e+000°)
1.90546071796322e+001	(6.14899059336428e+000dB,-1.11473505657619e+000°)
1.90985325856621e+001	(6.14899638046190e+000dB,-1.11730585519187e+000°)
1.91425592502106e+001	(6.14900219425860e+000dB,-1.11988258752044e+000°)
1.91866874067026e+001	(6.14900803487749e+000dB,-1.12246526729189e+000°)
1.92309172891013e+001	(6.14901390244226e+000dB,-1.12505390826823e+000°)
1.92752491319091e+001	(6.14901979707717e+000dB,-1.12764852424353e+000°)
1.93196831701690e+001	(6.14902571890703e+000dB,-1.13024912904404e+000°)
1.93642196394658e+001	(6.14903166805726e+000dB,-1.13285573652825e+000°)
1.94088587759275e+001	(6.14903764465383e+000dB,-1.13546836058693e+000°)
1.94536008162263e+001	(6.14904364882331e+000dB,-1.13808701514327e+000°)
1.94984459975802e+001	(6.14904968069284e+000dB,-1.14071171415293e+000°)
1.95433945577537e+001	(6.14905574039013e+000dB,-1.14334247160410e+000°)
1.95884467350596e+001	(6.14906182804352e+000dB,-1.14597930151759e+000°)
1.96336027683602e+001	(6.14906794378190e+000dB,-1.14862221794692e+000°)
1.96788628970682e+001	(6.14907408773479e+000dB,-1.15127123497840e+000°)
1.97242273611483e+001	(6.14908026003227e+000dB,-1.15392636673117e+000°)
1.97696964011183e+001	(6.14908646080505e+000dB,-1.15658762735732e+000°)
1.98152702580507e+001	(6.14909269018443e+000dB,-1.15925503104195e+000°)
1.98609491735734e+001	(6.14909894830230e+000dB,-1.16192859200325e+000°)
1.99067333898716e+001	(6.14910523529119e+000dB,-1.16460832449260e+000°)
1.99526231496885e+001	(6.14911155128421e+000dB,-1.16729424279461e+000°)
1.99986186963271e+001	(6.14911789641511e+000dB,-1.16998636122721e+000°)
2.00447202736513e+001	(6.14912427081823e+000dB,-1.17268469414178e+000°)
